feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
C18.neg_Cluster_2021..urobilin	diagnosis_modified	CD	-7.59872004464517	0.942713582160045	220	171	8.98133430528509e-14	1.49808656212155e-10
HILIC.pos_Cluster_2093..urobilin.	diagnosis_modified	CD	-8.60580983560599	1.0933239521381	220	158	2.81107350006072e-13	2.34443529905064e-10
HILIC.pos_Cluster_1486..C16.carnitine	diagnosis_modified	CD	4.37233190753101	0.649593421080539	220	189	2.02840447324058e-10	1.12779288712177e-07
HILIC.pos_Cluster_0268..pyridoxamine	diagnosis_modified	CD	-2.44626344875783	0.38406491465514	220	219	1.44908619317188e-09	6.04268942552673e-07
C18.neg_Cluster_0490..docosapentaenoic.acid	diagnosis_modified	CD	2.96908750862624	0.476615528821385	220	213	3.04788276852711e-09	1.01677369158065e-06
C18.neg_Cluster_0863..docosapentaenoic.acid	diagnosis_modified	CD	3.1501063763254	0.514286238012415	220	173	5.271987985165e-09	1.2540720053645e-06
C8.pos_Cluster_0988..sphingosine	diagnosis_modified	CD	2.80801816080922	0.458589655411307	220	186	5.32847672104709e-09	1.2540720053645e-06
HILIC.neg_Cluster_1303..lithocholate	antibiotic	Yes	-5.87945082951546	0.969552902138377	220	202	7.24830312169613e-09	1.2540720053645e-06
HILIC.pos_Cluster_0521..L.1.2.3.4.tetrahydro.beta.carboline.3.carboxylic.acid.	diagnosis_modified	CD	-2.29279101799024	0.378533483018287	220	211	7.51841729834832e-09	1.2540720053645e-06
HILIC.pos_Cluster_1580..C18.2.carnitine	diagnosis_modified	CD	4.00761842451551	0.659686338301343	220	158	6.84737058912564e-09	1.2540720053645e-06
C18.neg_Cluster_0506..adrenic.acid	diagnosis_modified	CD	3.81439098221328	0.644255911831844	220	188	1.51842724719983e-08	1.80909760594951e-06
C18.neg_Cluster_0901..7.ketodeoxycholate	diagnosis_modified	CD	-2.17299738359932	0.366504873940534	220	159	1.45484723724482e-08	1.80909760594951e-06
C18.neg_Cluster_1324..docosapentaenoic.acid	diagnosis_modified	CD	2.85192053549716	0.47905016640432	220	160	1.28438222255365e-08	1.80909760594951e-06
HILIC.neg_Cluster_0441..sebacate	diagnosis_modified	CD	-2.58873262158921	0.435500756120434	220	217	1.34518525300446e-08	1.80909760594951e-06
C18.neg_Cluster_0268..hexadecanedioic.acid	diagnosis_modified	CD	-1.36863399720872	0.231999493005739	220	217	1.69316243123254e-08	1.82535977930584e-06
C18.neg_Cluster_0729..docosapentaenoic.acid	diagnosis_modified	CD	2.47460975462145	0.41994354918134	220	112	1.75094463242767e-08	1.82535977930584e-06
C18.neg_Cluster_0833..deoxycholic.acid	antibiotic	Yes	-4.52066201466634	0.771193660200768	220	213	2.0484186651318e-08	2.00986019614109e-06
C18.neg_Cluster_0591..eicosatrienoic.acid	diagnosis_modified	CD	2.64723165814615	0.452744144744151	220	119	2.20857523131599e-08	2.04661304768615e-06
HILIC.pos_Cluster_0184..pyridoxamine	diagnosis_modified	CD	-2.25088711447128	0.389391547741751	220	217	3.0922231087271e-08	2.71464639229306e-06
C18.neg_Cluster_0079..undecanedionate	diagnosis_modified	CD	-2.26237311097439	0.396001058739764	220	213	4.33855707736311e-08	3.61835660252083e-06
C8.pos_Cluster_0264..linoleoyl.ethanolamide	diagnosis_modified	CD	2.98185873575527	0.52608812253419	220	217	5.43184584445538e-08	4.31443755645313e-06
C18.neg_Cluster_0361..eicosatrienoic.acid	diagnosis_modified	CD	2.93499459323953	0.519529628399264	220	206	5.95934850427859e-08	4.51826968415304e-06
C8.pos_Cluster_0253..sphingosine	diagnosis_modified	CD	2.16899104631003	0.396965464089791	220	220	1.48089242215275e-07	1.04951616461776e-05
HILIC.pos_Cluster_1374..C14.carnitine	diagnosis_modified	CD	2.93056252877608	0.536742305707737	220	100	1.51009520088886e-07	1.04951616461776e-05
C8.pos_Cluster_0341..N.oleoylethanolamine	diagnosis_modified	CD	2.55667505646403	0.472277890441037	220	214	1.89033959048586e-07	1.26123457477217e-05
HILIC.pos_Cluster_0384..N.acetylglutamic.acid	diagnosis_modified	CD	-1.83336517957598	0.340927125744694	220	220	2.24713330245758e-07	1.44162244173048e-05
C18.neg_Cluster_0731..lithocholic.acid	antibiotic	Yes	-4.19971872430966	0.783827950624816	220	212	2.46903140542223e-07	1.52531273490529e-05
C18.neg_Cluster_0045..azelate	diagnosis_modified	CD	-1.96416598188666	0.369375082403875	220	220	2.9952922416556e-07	1.78433837824341e-05
HILIC.pos_Cluster_0540..pantothenate	diagnosis_modified	CD	-1.52330053565397	0.287147015166795	220	220	3.18040885483249e-07	1.82928343788296e-05
C8.pos_Cluster_0339..linoleoyl.ethanolamide	diagnosis_modified	CD	2.75067466732597	0.521242986133481	220	218	3.6296290721199e-07	2.01807376409867e-05
HILIC.pos_Cluster_0151..butyrobetaine	antibiotic	Yes	-2.15360873752337	0.409086813620893	220	220	3.85507778285353e-07	2.04139553395018e-05
HILIC.pos_Cluster_0524..N.acetyl.L.arginine	diagnosis_modified	CD	-1.67931823454027	0.319195324023808	220	220	3.91634634810587e-07	2.04139553395018e-05
C18.neg_Cluster_0183..1.2.3.4.tetrahydro.b.carboline.1.3.dicarboxylic.acid	diagnosis_modified	CD	-2.34232389998874	0.445837452816434	220	171	4.05467988226445e-07	2.04945637685367e-05
C8.pos_Cluster_0166..sphingosine	diagnosis_modified	CD	2.3180799347033	0.442393358242783	220	215	4.3299105058643e-07	2.06351163536619e-05
HILIC.pos_Cluster_0177..4.hydroxy.3.methylacetophenone	diagnosis_modified	CD	-2.14000857991871	0.408406762520146	220	210	4.3292249208754e-07	2.06351163536619e-05
C18.neg_Cluster_0832..chenodeoxycholate	diagnosis_modified	CD	4.23480543528501	0.810412841888846	220	151	4.63351314470445e-07	2.14686109037973e-05
HILIC.neg_Cluster_0288..suberate	diagnosis_modified	CD	-1.71420975847967	0.328496553620765	220	219	4.79201354567791e-07	2.16029151194345e-05
HILIC.pos_Cluster_0658..geranyl.acetoacetate.	diagnosis_modified	CD	-1.67627510388384	0.322451505729507	220	217	5.25985629664329e-07	2.30880007968447e-05
HILIC.pos_Cluster_0062..nicotinic.acid	diagnosis_modified	CD	-1.44035728887847	0.279016929182415	220	219	6.23396064779759e-07	2.66621701551959e-05
HILIC.neg_Cluster_1088..linoleoyl.ethanolamide	diagnosis_modified	CD	2.29615604166124	0.449659914587241	220	217	8.08414152493523e-07	3.37108701589799e-05
HILIC.neg_Cluster_1325..linoleoyl.ethanolamide	diagnosis_modified	CD	2.44779028811483	0.481117416293226	220	220	8.81593479551565e-07	3.58658030217564e-05
HILIC.neg_Cluster_0220..3.methyladipate.pimelate	diagnosis_modified	CD	-4.63694388867314	0.921036849165395	220	180	1.12676777951641e-06	4.4748777529366e-05
C18.neg_Cluster_0144..2.hydroxymyristic.acid	diagnosis_modified	CD	-1.95127950595576	0.390001869953256	220	220	1.30010393232822e-06	4.92857581618972e-05
C18.neg_Cluster_0486..carnosol	diagnosis_modified	CD	-3.55231386638908	0.709446796524745	220	159	1.27709776700134e-06	4.92857581618972e-05
HILIC.pos_Cluster_0495..N.acetylglutamic.acid	diagnosis_modified	CD	-1.69845798123962	0.340644804534411	220	214	1.40665880363374e-06	5.2140152988024e-05
